date,open,high,low,close,volume,average,barCount
2025-12-26,690.64,691.66,689.27,690.31,32575282.0,690.301,303285
2025-12-29,687.59,689.2,686.07,687.85,44132455.0,687.625,413404
2025-12-30,687.45,688.56,686.58,687.01,34365308.0,687.497,314441
2025-12-31,687.12,687.36,681.71,681.92,51325838.0,684.424,479947
2026-01-02,685.7,686.87,679.82,683.17,69826347.0,682.935,678122
2026-01-05,686.54,689.43,686.37,687.72,54698851.0,687.952,482983
2026-01-06,687.9,692.32,687.78,691.81,55143260.0,690.512,522591
2026-01-07,692.21,693.96,689.32,689.58,60132171.0,691.773,566947
2026-01-08,688.79,690.62,687.49,689.51,52088407.0,689.225,513748
2026-01-09,690.65,695.31,689.18,694.07,58426222.0,693.184,552076
